ad_id,group,emotion_label,message_type,visual_style,num_people,people_present,people_area_ratio,product_present,product_area_ratio,object_count,object_list,dominant_element,text_present,text_area_ratio,avg_font_size_proxy,dominant_colors,brightness_category,saturation_category,hue_category,visual_impact
0,financial_institutions,calm,informational,product_focused,3,1,0.4793044529091626,0,0.0,3,"['person', 'person', 'person']",person,1,0.20295384615384615,13.764705882352942,"['#eee5de', '#2c2831', '#b26651']",light,balanced,green,0.534704705882353
1,food,exciting,informational,product_focused,1,1,0.018651781635255448,0,0.0,1,['person'],person,1,0.10013772507568733,44.48950913907004,"['#b12c28', '#d7a83b', '#ebdcbc']",light,vibrant,red,0.7273358823529412
2,electronics,exciting,informational,product_focused,0,0,0.0,1,0.550735041267199,2,"['cell phone', 'cell phone']",cell phone,1,0.07896835380793366,54.19155559371171,"['#37474d', '#060c0f', '#748f97']",dark,balanced,blue,0.32192725490196084
3,food,joy,informational,product_focused,0,0,0.0,1,0.8231063316423227,2,"['bed', 'dining table']",dining table,1,0.08543745572092783,30.833333333333332,"['#d1c7c4', '#b19c8e', '#714f44']",light,muted,green,0.4422198039215686
4,body_wear,exciting,informational,product_focused,1,1,0.45645364354429563,1,0.13848151263916725,3,"['person', 'skateboard', 'skateboard']",person,1,0.12005254072205214,102.51517849701757,"['#bac9d6', '#7494ab', '#393945']",light,balanced,blue,0.46853254901960784
5,food,calm,informational,lifestyle,1,1,0.678975505299398,1,0.27745124274089195,2,"['person', 'book']",person,1,0.12064516207356635,64.66397742453537,"['#ca6c4d', '#7c4d42', '#d3b4a5']",light,balanced,red,0.5846729411764706
6,vehicles,exciting,informational,product_focused,1,1,0.1258707146522927,1,0.39253716721003823,2,"['motorcycle', 'person']",motorcycle,1,0.10296229802513465,32.888888888888886,"['#b3bdc5', '#2e2b2e', '#676e78']",medium,muted,blue,0.3140349019607843
7,vehicles,exciting,informational,product_focused,0,0,0.0,1,0.14085105681467497,1,['truck'],truck,1,0.23154403139031593,26.0,"['#252021', '#684244', '#a7a4a4']",dark,muted,green,0.19510313725490197
8,sports,exciting,emotional,product_focused,1,1,0.23241693122348284,0,0.0,1,['person'],person,1,0.2504574069040159,45.8463104698462,"['#9fbbc9', '#736465', '#dee6ea']",light,muted,green,0.48375843137254904
9,vehicles,exciting,informational,complex,0,0,0.0,1,0.40958972888975054,1,['motorcycle'],motorcycle,1,0.14900961929066112,39.23836099265547,"['#bec2c8', '#2a2a2a', '#976164']",medium,muted,blue,0.3759572549019608
12,home_essentials,exciting,informational,product_focused,1,1,0.10024141152061163,1,0.3495844925271699,3,"['person', 'airplane', 'cup']",airplane,1,0.06351091379948205,49.0,"['#2580b2', '#1b3c5a', '#cacac5']",medium,vibrant,blue,0.6248786274509803
13,home_essentials,calm,informational,product_focused,0,0,0.0,0,0.0,0,[],none,1,0.089752,63.25,"['#68c1df', '#1c94b7', '#d8e5dd']",light,balanced,blue,0.6834190196078431
14,food,joy,emotional,lifestyle,0,0,0.0,1,0.37829490116824854,1,['donut'],donut,1,0.20290741459196865,81.92714482300723,"['#6cc3ed', '#e89948', '#7d5d9c']",light,balanced,green,0.7172574509803921
15,electronics,joy,informational,product_focused,0,0,0.0,1,0.31887545236642184,4,"['chair', 'laptop', 'laptop', 'tv']",laptop,1,0.12891203703703705,34.85,"['#503f33', '#c9cdd7', '#807b7f']",medium,muted,green,0.3953158823529412
16,drinks,exciting,informational,product_focused,0,0,0.0,1,0.11320908725869565,7,"['bottle', 'bottle', 'bottle', 'orange', 'bottle', 'orange', 'bottle']",bottle,1,0.14695971487201642,23.5,"['#fcfbfb', '#c05b3f', '#d3af9f']",light,muted,green,0.5275976470588235
19,cosmetics,exciting,informational,product_focused,1,1,0.9597500546867512,1,0.03507536320843012,2,"['person', 'bottle']",person,1,0.07871545929798357,17.833333333333332,"['#2d3539', '#babbb4', '#686f70']",medium,muted,blue,0.2760974509803921
20,drinks,exciting,informational,product_focused,0,0,0.0,1,0.3417306828317952,2,"['bottle', 'cup']",bottle,1,0.14362196180555556,55.22222222222222,"['#7f7960', '#c9c9b3', '#100f0f']",medium,balanced,green,0.43650098039215685
21,electronics,exciting,informational,product_focused,0,0,0.0,0,0.0,0,[],none,1,0.1437750771604938,35.857142857142854,"['#172742', '#3e72a0', '#b7b7b9']",medium,vibrant,blue,0.5166625490196078
25,food,sad,informational,product_focused,0,0,0.0,0,0.0,0,[],none,1,0.027340969780032986,16.942659258249847,"['#b5805a', '#735a4b', '#d0c4b8']",light,balanced,red,0.5378641176470588
26,food,joy,informational,product_focused,0,0,0.0,1,0.2768458802232376,1,['sandwich'],sandwich,1,0.13718278463648834,43.38461538461539,"['#d8b435', '#f8f7f4', '#216935']",light,balanced,yellow,0.6607152941176471
27,food,exciting,emotional,product_focused,2,1,0.8571990615891417,0,0.0,2,"['person', 'person']",person,1,0.09575663440374584,49.83825169248303,"['#bbb6b3', '#22232a', '#76645b']",medium,balanced,green,0.3916337254901961
28,body_wear,exciting,informational,product_focused,1,1,0.5333324304527991,0,0.0,1,['person'],person,1,0.13102302327253573,23.201609845111946,"['#45212d', '#dbc5a6', '#9e406f']",medium,balanced,blue,0.5617366666666666
30,vehicles,calm,informational,product_focused,0,0,0.0,1,0.35020910252952886,1,['car'],car,1,0.18563098086124402,25.833333333333332,"['#b5785a', '#443433', '#ebe3d3']",medium,balanced,green,0.460478431372549
31,home_essentials,calm,informational,product_focused,1,1,0.27350244687189906,1,0.027340182358654215,2,"['person', 'stop sign']",person,1,0.12653793713016298,52.14975489440953,"['#e6e7e7', '#3c5f33', '#c2ac86']",light,balanced,green,0.5013296078431373
33,electronics,calm,informational,product_focused,0,0,0.0,1,0.729085277871573,2,"['laptop', 'keyboard']",laptop,1,0.0020540472539318628,12.571428571428571,"['#713a46', '#efd1c0', '#321ab6']",light,vibrant,blue,0.6387135294117647
34,cosmetics,joy,informational,product_focused,1,1,0.3192556102822817,0,0.0,1,['person'],person,1,0.05399787808641975,35.714285714285715,"['#c3dddb', '#615f65', '#98afb3']",light,muted,green,0.44242137254901964
35,food,joy,emotional,lifestyle,4,1,0.9551165062267756,1,0.15455703217205155,8,"['person', 'bowl', 'pizza', 'person', 'person', 'bowl', 'dining table', 'person']",person,1,0.078075,31.77777777777778,"['#464d3b', '#ded3d8', '#af978b']",light,muted,blue,0.4536309803921569
37,body_wear,exciting,informational,product_focused,2,1,0.43484634001875283,0,0.0,2,"['person', 'person']",person,1,0.14980959210242345,24.142857142857142,"['#ddd9e0', '#5e5c61', '#a09ea3']",medium,muted,blue,0.35226823529411766
42,electronics,joy,informational,product_focused,0,0,0.0,1,0.4278596618364275,1,['keyboard'],keyboard,1,0.06233453360768176,26.08,"['#2d2c32', '#fdf9f7', '#b5978c']",light,muted,yellow,0.42534470588235296
43,electronics,calm,informational,complex,0,0,0.0,1,0.5725794371853893,1,['potted plant'],potted plant,1,0.052222222222222225,13.333333333333334,"['#b3cd3f', '#6c4049', '#f4edf1']",light,balanced,green,0.5968066666666667
50,food,joy,informational,product_focused,0,0,0.0,0,0.0,0,[],none,1,0.12717355920546702,14.129554707514602,"['#8a8650', '#e3ecef', '#30542a']",light,balanced,green,0.5302952941176471
51,food,joy,informational,product_focused,0,0,0.0,1,0.0743345165097167,2,"['stop sign', 'teddy bear']",teddy bear,1,0.2178003814188489,90.3425700948372,"['#f1edea', '#b63b37', '#cdab87']",light,balanced,green,0.5738688235294117
52,home_essentials,exciting,informational,product_focused,0,0,0.0,1,0.1139687808516319,3,"['bottle', 'vase', 'bottle']",bottle,1,0.15502019875635278,30.44826931338843,"['#ce4750', '#224696', '#c5c1c6']",light,balanced,blue,0.640031568627451
53,food,sad,informational,product_focused,3,1,0.023824238977462636,1,0.19187342124417608,10,"['donut', 'orange', 'person', 'cup', 'donut', 'person', 'person', 'donut', 'orange', 'donut']",cup,1,0.08786377937859591,21.807289171152153,"['#254c9f', '#f8f8f5', '#c98954']",light,balanced,green,0.6017813725490196
54,food,exciting,informational,product_focused,1,1,0.6572915304761485,1,0.06326624718875458,2,"['cup', 'person']",person,1,0.1601247877898559,30.27898839140009,"['#f0efee', '#97271e', '#ae9188']",light,balanced,red,0.6049211764705883
57,electronics,joy,informational,product_focused,2,1,0.18686095360968896,1,0.4063359459310335,6,"['person', 'person', 'cell phone', 'cell phone', 'cell phone', 'suitcase']",suitcase,1,0.058015705471671494,33.2,"['#514b52', '#1b1919', '#af82a7']",dark,muted,green,0.208868431372549
58,cosmetics,exciting,informational,product_focused,0,0,0.0,1,0.15584248702983666,1,['suitcase'],suitcase,1,0.20310613854595336,51.785714285714285,"['#500506', '#bb9797', '#d50e0f']",medium,vibrant,yellow,0.6566972549019608
60,home_essentials,exciting,informational,product_focused,1,1,0.07842614352119441,1,0.09267759227304477,2,"['clock', 'person']",clock,1,0.2538614690766843,60.84615384615385,"['#f9f8f7', '#a34e38', '#e5ab25']",light,balanced,yellow,0.5790215686274509
61,body_wear,calm,informational,lifestyle,0,0,0.0,0,0.0,0,[],none,1,0.11789866255144033,56.2,"['#bea090', '#88665d', '#41211d']",medium,balanced,yellow,0.42129686274509803
62,food,joy,informational,product_focused,2,1,0.24844691476814829,1,0.03658293022861192,8,"['person', 'person', 'wine glass', 'cup', 'bowl', 'bowl', 'bowl', 'bowl']",person,1,0.24741941015089164,59.1,"['#f19310', '#e6d9c7', '#553a28']",light,vibrant,yellow,0.7586354901960783
63,body_wear,joy,emotional,product_focused,2,1,0.5881907693161603,0,0.0,2,"['person', 'person']",person,1,0.10316398578024147,38.267100350854086,"['#904444', '#e7e5e3', '#cc9b80']",light,balanced,green,0.5756798039215686
64,food,exciting,informational,product_focused,0,0,0.0,1,1.1202778584140738,3,"['hot dog', 'dining table', 'hot dog']",dining table,1,0.2094503691716356,64.828777430689,"['#9a8640', '#0e4660', '#a2d0d9']",medium,vibrant,blue,0.6154686274509804
66,electronics,joy,informational,product_focused,7,1,0.5596609517063429,1,0.3489063013740529,8,"['person', 'person', 'person', 'person', 'tv', 'person', 'person', 'person']",tv,1,0.07696780492658628,37.857142857142854,"['#ad9d91', '#6c5954', '#1f2222']",medium,balanced,green,0.30328941176470586
67,food,joy,informational,product_focused,0,0,0.0,1,1.5881617368785659,8,"['dining table', 'cake', 'cake', 'knife', 'sandwich', 'cake', 'cake', 'cake']",dining table,1,0.0561884310133543,94.91975719993577,"['#a09b8e', '#6b3a24', '#ddd8d0']",light,balanced,yellow,0.5090145098039216
70,electronics,exciting,informational,product_focused,0,0,0.0,1,0.23810076830975407,1,['stop sign'],stop sign,1,0.0694238683127572,46.166666666666664,"['#90c8e6', '#1a80c5', '#454d55']",light,balanced,blue,0.6162311764705882
71,body_wear,joy,informational,complex,1,1,0.7863945631173328,1,0.011872124130420835,2,"['person', 'clock']",person,1,0.1250925388121642,46.51897599744115,"['#a66c4f', '#e1b393', '#281315']",medium,balanced,green,0.5118741176470588
72,financial_institutions,calm,informational,lifestyle,2,1,0.4331472254719434,1,0.015751563547189915,4,"['person', 'potted plant', 'bottle', 'person']",person,1,0.09408762573776454,16.948507491115333,"['#f2f3f3', '#36a5d1', '#c3bfbb']",light,muted,green,0.5270711764705882
73,vehicles,exciting,informational,product_focused,0,0,0.0,1,0.36143594609267893,1,['car'],car,1,0.06236428057427877,35.585159041845785,"['#53a2de', '#2a5174', '#edf2f6']",light,balanced,blue,0.6530819607843137
79,cosmetics,exciting,informational,product_focused,0,0,0.0,0,0.0,0,[],none,1,0.193740234375,52.8,"['#79aed1', '#d0eaf7', '#16395d']",light,balanced,blue,0.5652694117647059
81,electronics,joy,informational,product_focused,0,0,0.0,1,0.061927786898590624,2,"['potted plant', 'clock']",potted plant,1,0.133952,18.181818181818183,"['#3c6094', '#dbdce1', '#959fab']",light,balanced,blue,0.5135421568627451
82,cosmetics,joy,informational,product_focused,1,1,0.5387650006315039,1,0.2684084563169661,6,"['frisbee', 'person', 'banana', 'banana', 'frisbee', 'skateboard']",person,1,0.1185791561217582,64.29661877898232,"['#d2c5ba', '#182762', '#7a738d']",medium,balanced,blue,0.5531350980392157
83,vehicles,exciting,informational,product_focused,0,0,0.0,1,0.25507314759423255,1,['car'],car,1,0.11527377521613832,11.076923076923077,"['#090807', '#c5b074', '#6a5a46']",medium,balanced,yellow,0.3361103921568627
84,cosmetics,sad,informational,product_focused,1,1,0.7076226671359424,1,0.21508268620329338,2,"['person', 'dining table']",person,1,0.07944492033578893,24.90909090909091,"['#d6c19a', '#919381', '#544737']",light,balanced,green,0.47160411764705884
85,body_wear,joy,informational,product_focused,0,0,0.0,1,0.022869768781759527,1,['clock'],clock,1,0.02818777033016427,10.26468978677011,"['#e1e2e3', '#bfc1c3', '#576d7d']",light,muted,green,0.4359676470588235
88,food,joy,informational,product_focused,3,1,0.1911023788879854,0,0.0,3,"['person', 'person', 'person']",person,1,0.2551875188396718,31.158771082872473,"['#f7efdf', '#d9c1ab', '#a76750']",light,muted,yellow,0.5469333333333333
89,food,joy,informational,product_focused,1,1,0.1053026156869828,1,0.1497943108256993,3,"['bowl', 'person', 'vase']",person,1,0.1455283812788794,48.31753904764388,"['#99c5cd', '#a07650', '#e8cf39']",light,balanced,green,0.6019105882352941
90,vehicles,joy,informational,complex,0,0,0.0,1,0.3055638836201406,1,['car'],car,1,0.04303374777975133,17.4,"['#2b2d29', '#f4f5ef', '#7a8278']",medium,muted,green,0.33310941176470593
93,electronics,joy,informational,product_focused,0,0,0.0,1,0.1570250484508891,1,['tv'],tv,1,0.06977562377889701,24.21405677960507,"['#b3bbc0', '#2e2e34', '#7e868e']",medium,muted,blue,0.36204156862745096
97,food,joy,informational,product_focused,0,0,0.0,1,0.6735294225965089,4,"['bowl', 'cake', 'cake', 'dining table']",dining table,1,0.08643222504507184,25.94533127479458,"['#f3ede7', '#bc8d5c', '#8b5f3e']",light,balanced,red,0.5345164705882353
98,vehicles,calm,informational,product_focused,0,0,0.0,1,0.4267526104891615,1,['car'],car,1,0.2074021404901289,35.40549312924888,"['#e4e9ec', '#3a4b6f', '#889dba']",light,muted,blue,0.4803943137254902
99,drinks,exciting,persuasive,product_focused,0,0,0.0,1,0.08473359900642194,1,['cup'],cup,1,0.15680555555555556,23.666666666666668,"['#4b833b', '#1c3913', '#c6ddbd']",medium,balanced,green,0.4707588235294118
100,food,calm,emotional,lifestyle,0,0,0.0,1,0.3006752090513277,1,['cup'],cup,1,0.09251440329218107,54.0,"['#521f12', '#dbb097', '#9b5a3b']",medium,vibrant,red,0.5696780392156863
104,food,joy,emotional,product_focused,2,1,0.8831276192181596,1,0.2996918523101259,4,"['person', 'cell phone', 'person', 'cup']",person,1,0.2227044029117702,68.67821009374697,"['#684946', '#191310', '#d2a2bd']",dark,balanced,green,0.3200333333333333
105,cosmetics,joy,informational,product_focused,0,0,0.0,1,0.22492561658517038,3,"['bottle', 'bottle', 'wine glass']",bottle,1,0.128252,26.61904761904762,"['#301b12', '#cb9e54', '#924f26']",medium,vibrant,red,0.5078478431372548
113,vehicles,exciting,emotional,lifestyle,2,1,0.6284239952501953,0,0.0,2,"['person', 'person']",person,1,0.2058475372902721,53.018583240070825,"['#d0c3bc', '#3d2c29', '#736751']",medium,balanced,green,0.3810698039215686
114,drinks,joy,informational,lifestyle,3,1,0.9960974647463663,1,0.0029129911219383064,4,"['cell phone', 'person', 'person', 'person']",person,1,0.22630971901291977,54.63841906003094,"['#b8917f', '#79251a', '#f7f3f0']",medium,balanced,red,0.571448431372549
118,vehicles,exciting,informational,product_focused,0,0,0.0,1,0.08248233301676809,1,['car'],car,1,0.05123921568627451,49.0,"['#475c3e', '#d6d7d4', '#111a0c']",dark,balanced,green,0.3155064705882353
120,vehicles,exciting,informational,complex,0,0,0.0,1,0.32609128970111784,5,"['cell phone', 'car', 'car', 'cell phone', 'cell phone']",car,1,0.10356887374840985,12.300260651866552,"['#dbdedd', '#36444f', '#b29a62']",medium,balanced,green,0.46715764705882357
121,electronics,calm,informational,product_focused,2,1,0.3634251866685002,1,0.13731291342953703,3,"['person', 'person', 'bed']",person,1,0.07408148148148148,49.857142857142854,"['#a18e8a', '#403a3c', '#e9e7e7']",light,muted,green,0.4117613725490196
128,food,sad,informational,product_focused,2,1,0.22033247760552196,1,0.306046254437849,4,"['person', 'bottle', 'book', 'person']",book,1,0.0902609318955599,17.26467666914526,"['#6b6c6c', '#b1ad9f', '#343741']",medium,balanced,blue,0.33788588235294115
133,cosmetics,joy,informational,product_focused,5,1,0.37611136285433205,1,1.0982884161319673,8,"['person', 'person', 'person', 'tie', 'person', 'book', 'person', 'book']",book,1,0.18369435609996274,23.89168198771039,"['#f1e5d8', '#47423d', '#cda073']",light,balanced,yellow,0.5036303921568627
134,vehicles,exciting,informational,product_focused,0,0,0.0,1,0.3469315002713461,1,['motorcycle'],motorcycle,1,0.13381717243273722,20.9,"['#8f8187', '#9cb5e1', '#373536']",light,balanced,blue,0.46385333333333334
140,vehicles,calm,emotional,lifestyle,0,0,0.0,1,0.21786030135666948,2,"['car', 'truck']",truck,1,0.11408096503638666,19.481791797333344,"['#0e121b', '#bfc1c7', '#51565a']",dark,balanced,blue,0.2999041176470588
141,vehicles,exciting,informational,complex,0,0,0.0,1,0.5749803810410833,3,"['sheep', 'truck', 'car']",car,1,0.1747716523854738,14.481632168999722,"['#33302a', '#f2e9cc', '#ba9c5c']",medium,balanced,green,0.43571196078431373
144,drinks,exciting,emotional,product_focused,1,1,0.3699395855765518,1,0.054650581504231216,2,"['person', 'sports ball']",person,1,0.07663280078283938,60.709627635217075,"['#03030e', '#a28e9e', '#443e55']",dark,balanced,blue,0.3594978431372549
145,body_wear,joy,informational,product_focused,0,0,0.0,1,0.21272433903424212,2,"['vase', 'vase']",vase,1,0.010933333333333333,48.0,"['#f7d2d2', '#d7947d', '#f3afae']",light,balanced,violet,0.6111043137254901
146,vehicles,exciting,informational,product_focused,0,0,0.0,1,0.3608256135665607,1,['car'],car,1,0.064252,44.666666666666664,"['#e5e3e3', '#412731', '#93747d']",light,muted,green,0.42547529411764706
151,body_wear,exciting,informational,product_focused,0,0,0.0,0,0.0,0,[],none,1,0.336005658436214,86.36842105263158,"['#cccdcf', '#444848', '#929897']",medium,muted,green,0.3448539215686275
155,home_essentials,calm,informational,complex,1,1,0.7021809458197356,1,0.056398591359706596,3,"['person', 'toothbrush', 'toothbrush']",person,1,0.172592,29.5,"['#d2e7e6', '#ae2a2b', '#d8ac93']",light,balanced,green,0.6335943137254902
156,home_essentials,joy,emotional,lifestyle,2,1,0.5344095544387658,0,0.0,2,"['person', 'person']",person,1,0.05311408826512745,51.532901116048095,"['#423326', '#f3f0ee', '#aa6060']",medium,balanced,green,0.4700264705882353
157,baby_products,joy,informational,product_focused,1,1,0.1594525152266514,0,0.0,1,['person'],person,1,0.08222201742026373,17.0293764421604,"['#f6e5d3', '#c01d22', '#cd8e7c']",light,balanced,green,0.5949374509803921
164,drinks,exciting,informational,product_focused,0,0,0.0,1,0.16286019927964498,1,['book'],book,1,0.6216067666392471,66.64947789731517,"['#ce8a2d', '#d1d4d7', '#0f7dfa']",light,balanced,green,0.5490880392156863
165,body_wear,exciting,informational,product_focused,1,1,0.6555437637769803,1,0.00661875097241879,2,"['person', 'sports ball']",person,1,0.11885042533081286,26.55,"['#ae7047', '#efd2bc', '#73230d']",medium,vibrant,yellow,0.6527643137254903
166,electronics,exciting,informational,product_focused,0,0,0.0,1,0.10762068231369534,1,['cell phone'],cell phone,1,0.07911513710888914,51.16140729792633,"['#556d8f', '#d8e2e9', '#15181c']",medium,balanced,green,0.39592176470588236
167,vehicles,exciting,informational,complex,0,0,0.0,1,0.2770886050506568,1,['car'],car,1,0.08576994603491335,26.14334383655099,"['#f2f6f9', '#1c4559', '#9cb3bf']",light,balanced,blue,0.4930903921568627
168,financial_institutions,exciting,informational,complex,0,0,0.0,0,0.0,0,[],none,1,0.3012037037037037,37.833333333333336,"['#d7d5dc', '#cc5450', '#516682']",light,balanced,blue,0.5265956862745098
173,vehicles,exciting,informational,complex,1,1,0.047649432915656736,1,0.3320772864098874,3,"['motorcycle', 'motorcycle', 'person']",motorcycle,1,0.08029550933927126,16.23357292249604,"['#995f63', '#e0dede', '#3a2a40']",medium,balanced,blue,0.41533470588235294
174,body_wear,calm,informational,complex,0,0,0.0,0,0.0,0,[],none,1,0.2259548419379907,27.76899725960081,"['#816d44', '#192512', '#cbb889']",medium,balanced,yellow,0.4313021568627451
182,body_wear,joy,informational,product_focused,3,1,0.488511033522168,1,0.017830148860717532,4,"['person', 'person', 'person', 'pizza']",person,1,0.11998273026359245,27.487200072950287,"['#964135', '#f4f1ef', '#c4957a']",light,balanced,yellow,0.5461501960784314
184,financial_institutions,exciting,informational,lifestyle,3,1,0.2473187780657768,0,0.0,3,"['person', 'person', 'person']",person,1,0.26919800645564257,15.660106076858591,"['#8b797a', '#f2f0ed', '#c5bcb7']",light,muted,yellow,0.46308098039215684
186,body_wear,calm,informational,lifestyle,1,1,0.4086848514196712,0,0.0,1,['person'],person,1,0.10012259945130315,65.83333333333333,"['#363329', '#c2a88d', '#8e735a']",medium,balanced,yellow,0.4416994117647059
187,food,joy,informational,product_focused,0,0,0.0,0,0.0,0,[],none,1,0.24619850518947162,27.23352900789356,"['#716323', '#a8c3c7', '#ee811f']",light,vibrant,yellow,0.8418796078431373
189,electronics,calm,informational,complex,0,0,0.0,1,0.8727039939909264,3,"['laptop', 'tv', 'laptop']",laptop,1,0.1573089131236863,118.27687183250934,"['#fbfcfc', '#5c5b5d', '#b1c3cf']",light,muted,yellow,0.4608937254901961
190,drinks,calm,informational,product_focused,1,1,0.0848497519467473,1,0.3297296369191855,5,"['bottle', 'bottle', 'person', 'bottle', 'bottle']",bottle,1,0.2191366429512212,47.298839743088735,"['#e8ccb4', '#4c7e94', '#47e9e9']",light,balanced,green,0.6367923529411764
191,food,exciting,informational,product_focused,0,0,0.0,1,1.927985131232313,13,"['bowl', 'bowl', 'bowl', 'bowl', 'bowl', 'bowl', 'bowl', 'bowl', 'dining table', 'bowl', 'bowl', 'broccoli', 'pizza']",dining table,1,0.07554375,26.0,"['#b85b27', '#c9b8ad', '#341c20']",medium,balanced,yellow,0.5568121568627451
192,sports,exciting,emotional,product_focused,3,1,1.1101916051806848,1,0.29650839967278664,4,"['person', 'person', 'snowboard', 'person']",person,1,0.4092725369137306,67.55556299924447,"['#ebe9e8', '#6f3334', '#af9996']",light,muted,yellow,0.46779764705882354
194,vehicles,exciting,emotional,lifestyle,6,1,0.8130584427431897,1,0.8076282933410694,8,"['car', 'person', 'person', 'car', 'person', 'person', 'person', 'person']",car,1,0.006172393007836046,12.666666666666666,"['#373a36', '#b1995c', '#f3f2eb']",medium,balanced,green,0.4362017647058824
195,electronics,exciting,informational,product_focused,0,0,0.0,0,0.0,0,[],none,1,0.027803896583052677,27.28012653287131,"['#d3c2a7', '#fdfdfb', '#a16543']",light,muted,red,0.5137801960784314
196,food,joy,informational,product_focused,0,0,0.0,1,0.04064795297782757,1,['chair'],chair,1,0.11990460679362414,61.207834745331056,"['#c25203', '#63a4c0', '#e6a614']",light,vibrant,yellow,0.8684468627450981
197,food,exciting,informational,product_focused,0,0,0.0,1,0.9213452905700251,1,['clock'],clock,1,0.280166015625,107.8,"['#c1b6b6', '#f5a330', '#694746']",light,vibrant,yellow,0.7727013725490197